"Node","Type","In_Degree","Out_Degree","Total_Degree"
"Pulmonary_Edema","regular",1,0,1
"Pulmonary_Embolism","regular",0,1,1
"Pulmonary_arterial_hypertension","regular",1,0,1
"Purpura_Thrombotic_Thrombocytopenic","regular",1,0,1
"RNA_Viruses","regular",0,1,1
"ROS1_wt_Allele_ROS1","regular",0,1,1
"Recombinant_Erythropoietin","regular",0,1,1
"Recurrence","regular",0,1,1
"Relaxation","regular",0,1,1
"Renal_Artery_Stenosis","regular",0,1,1
"Renal_artery_occlusion","regular",0,1,1
"Renal_infarction","regular",0,1,1
"Renal_ischaemia","regular",0,1,1
"Renal_vascular_disorders_NOS","regular",0,1,1
"Renin","regular",0,1,1
"Respiratory_Insufficiency","regular",0,1,1
"Respiratory_Syncytial_Virus_Infections","regular",0,1,1
"Respiratory_syncytial_virus","regular",0,1,1
"Retinal_Degeneration","regular",1,0,1
"Retinitis_Pigmentosa","regular",1,0,1
"Retroviridae","regular",0,1,1
"Rett_Syndrome","regular",1,0,1
"Rhabdomyolysis","regular",0,1,1
"Rickets","regular",1,0,1
"Right_ventricular_failure","regular",1,0,1
"Rous_sarcoma_virus","regular",0,1,1
"SARS_coronavirus","regular",0,1,1
"SUCLA2_gene_SUCLA2","regular",0,1,1
"Saline","regular",0,1,1
"Salmonella","regular",0,1,1
"Salts","regular",0,1,1
"Secondary_hypertension","regular",1,0,1
"Senile_Plaques","regular",1,0,1
"Senile_dementia","regular",1,0,1
"Sensory_denervation_disorder","regular",0,1,1
"Severe_Acute_Respiratory_Syndrome","regular",1,0,1
"Shock_Cardiogenic","regular",0,1,1
"Shock_Endotoxic","regular",1,0,1
"Shock_Hemorrhagic","regular",0,1,1
"Silence","regular",1,0,1
"Simian_virus_40","regular",0,1,1
"Skin_Diseases_Genetic","regular",1,0,1
"Sleep_Apnea_Syndromes","regular",0,1,1
"Smoke","regular",0,1,1
"Sodium","regular",0,1,1
"Sodium_Chloride_Dietary","regular",0,1,1
"Sodium_Glutamate","regular",0,1,1
"Solutions","regular",0,1,1
"Spinal_Cord_Injuries","regular",0,1,1
"Spinal_Muscular_Atrophy","regular",1,0,1
"Staphylococcus_aureus","regular",0,1,1
"Starvation","regular",0,1,1
"Steatohepatitis_non_alcoholic","regular",1,0,1
"Stenosis","regular",0,1,1
"Stimulus","regular",0,1,1
"Stomatitis","regular",1,0,1
"Streptococcus","regular",0,1,1
"Streptococcus_Group_B","regular",0,1,1
"Streptococcus_pneumoniae","regular",0,1,1
"Streptococcus_pyogenes","regular",0,1,1
"Stroke_Acute","regular",1,0,1
"Subarachnoid_Hemorrhage","regular",0,1,1
"Sudden_infant_death_syndrome","regular",0,1,1
"Sugars","regular",0,1,1
"Superoxides","regular",0,1,1
"Systolic_dysfunction","regular",0,1,1
"TGFB1_protein_human_TGFB1","regular",0,1,1
"Tacrolimus","regular",0,1,1
"Takayasu_s_Arteritis","regular",0,1,1
"Telemedicine","regular",1,0,1
"Testosterone","regular",0,1,1
"Tetradecanoylphorbol_Acetate","regular",0,1,1
"Thiopental","regular",0,1,1
"Thrombocytopenia","regular",1,0,1
"Thromboembolism","regular",0,1,1
"Thrombophilia","regular",0,1,1
"Tissue_damage","regular",1,0,1
"Torsades_de_Pointes","regular",1,0,1
"Toxic_Epidermal_Necrolysis","regular",1,0,1
"Toxoplasma_gondii","regular",0,1,1
"Transforming_Growth_Factor_beta","regular",0,1,1
"Transplantation","regular",0,1,1
"Treatment_Protocols","regular",0,1,1
"Trisomy","regular",0,1,1
"Turpentine","regular",0,1,1
"U_44619","regular",0,1,1
"Ulcer","regular",1,0,1
"Unilateral_nephrectomy","regular",0,1,1
"Unilateral_renal_artery_stenosis","regular",0,1,1
"Up_Regulation_Physiology","regular",1,0,1
"Uric_Acid","regular",0,1,1
"Vaccination","regular",0,1,1
"Vasoconstrictor_Agents","regular",0,1,1
"Vasodilation","regular",1,0,1
"Vasodilation_disorder","regular",0,1,1
"Venoms","regular",0,1,1
"Ventricular_Dysfunction_Left","regular",1,0,1
"Ventricular_arrhythmia","regular",1,0,1
"Ventricular_hypertrophy","regular",1,0,1
"Virulence_Factors","regular",0,1,1
"Vitamin_K_3","regular",0,1,1
"Water","regular",0,1,1
"Water_consumption","regular",1,0,1
"Weight_Gain","regular",1,0,1
"West_Nile_virus","regular",0,1,1
"X_linked_agammaglobulinemia","regular",1,0,1
"Xenobiotics","regular",0,1,1
"Xylella_fastidiosa","regular",0,1,1
"Zinc","regular",0,1,1
"Zymosan","regular",0,1,1
"adenine","regular",0,1,1
"alanosine","regular",0,1,1
"aluminum","regular",0,1,1
"aluminum_chloride","regular",0,1,1
"aorta_constriction","regular",0,1,1
"arginine_methyl_ester","regular",0,1,1
"beta_Thalassemia","regular",1,0,1
"beta_site_APP_cleaving_enzyme_1_BACE1","regular",0,1,1
"bevacizumab","regular",0,1,1
"desoxycorticosterone_acetate","regular",0,1,1
"end_organ_damage","regular",1,0,1
"galactose","regular",0,1,1
"gamma_secretase","regular",0,1,1
"glucose_high","regular",0,1,1
"hearing_impairment","regular",1,0,1
"hydrochloride","regular",0,1,1
"hypercholesterolemia","regular",1,0,1
"microbial","regular",0,1,1
"microglial_cell_activation","regular",1,0,1
"nervous_system_disorder","regular",1,0,1
"neuron_loss","regular",0,1,1
"neuronal","regular",0,1,1
"parathyroid_hormone_related_protein","regular",0,1,1
"potassium_oxonate","regular",0,1,1
"presenilin","regular",0,1,1
"presenilin_1","regular",0,1,1
"rotenone","regular",0,1,1
"tau_Proteins","regular",0,1,1
"tert_Butylhydroperoxide","regular",0,1,1
"vascular_factor","regular",0,1,1
"diabetic","regular",0,0,0
